0,请问工程建设项目审批事项在哪进行申报？,业主可以从贵州省政务服务网或附近政务服务大厅窗口进行申报。
1,请问下工程建设项目审批事项申报流程是如何申报的？,"业主从贵州省政务服务网或窗口进行申报，根据所要申报的事项，提前准备好所需提交的资料,申报时可以选择进行邮寄领取或窗口领取；在申报完成后，所提交的资料会转至相应的职权部门进行审批，审批完成后再转至窗口人员进行最后的告知工作，系统会对业主发送短信通知，告知业主项目审批已完成或项目审批未通过的具体原因。"
2,请问在你们这儿提交纸质申请资料申办事项后还需要在网上进行申报吗？,需要，贵阳市工程建设项目审批管理系统是连接到国家住建部的，不允许体外循环、必须同步走线上申报和审批，接受上级部门监管。
3,请问申报事项时需要提供建设单位营业执照吗？,需要，贵阳市工程建设项目审批管理系统上面上传系统规定的前提要件。
4,请问申报事项时必须要提供经办人授权委托书及身份证明吗？,需要，贵阳市工程建设项目审批管理系统上面上传系统规定的前提要件。
5,审批完成后如何取件？,业主在申报时可以自主选择窗口领取或免费邮寄领取。
6,施工许可阶段可以办理哪些事项？,施工图设计文件审查（含建设工程消防设计审核、人防工程施工图设计文件审查）、人防设计审核确认、颁发人防工程质量监督受理书、质量监督手续、安全监督手续、建设工程施工许可证等事项。
7,建筑工程施工许可证可以在你们这儿申办吗？,可以，权限范围在建安投资3亿元以下（含3亿元）市政工程和建设总规模40万平方米以下（含40万平方米）各类房屋建筑及其附属设施的建造和与其配套的安装工程都可以在区里面申办。
8,请问办理建筑工程施工许可证需要达到什么条件？,"建设单位申请领取施工许可证，应当具备“（一）已经办理该建筑工程用地批准手续；（二）已经取得建设工程规划许可证；（三）施工场地已经基本具备施工条件，需要征收房屋的，其进度符合施工要求；（四）已经确定施工企业，即完成招投标工作；（五）施工图设计文件已按规定审查合格；（六）按照规定应当委托监理的工程已委托监理”等基本条件"
9,请问办理建筑工程施工许可证需要多少天时间？,资料齐全，我们会在5个工作日的承诺时限内完成办理。
10,请问水土保持方案可以在你们窗口申报吗？,区级发改立项的项目均可以在高新区申报审批。
11,请问办理水土保持方案也需要在系统上申报吗？,是的，需要，贵阳市工程建设项目审批管理系统是连接到国家住建部的，不允许体外循环、必须同步走线上申报和审批，接受上级部门监管。
12,请问办理水土保持方案需要多少天时间？,资料齐全，我们会在8个工作日的承诺时限内完成办理。
13,请问办理建筑工程施工许可证需要收费吗？,行政许可不收费。但是这个事项涉及法规规定的规费“城市基础设施配套费、安全措施费、务工人员支付保证金、工伤保险”这4项目费用需要到相关部门缴纳后，同其他申请资料一同申报并上传系统。
14,请问办理水土保持方案审批需要收费吗？,行政许可不收费。但是这个事项会涉及法规规定的水土保持设施补偿费需要到水行政主管部门缴纳。
15,请问你们工程建设项目审批全周期是多少天办结？分几个阶段办理？,目前是99个工作日内，分四个阶段办理，即立项用地许可阶段、工程建设许可阶段，施工许可阶段和竣工验收阶段，下步按照省工程建设项目审批制度改革的要求，调整为三个阶段。
16,请问你们这里质量安全监督手续和施工许可证是合并办理吗？,是的。
17,办理临时用地需要什么条件？,一、用地单位提出申请；二、必须是建设项目施工或地质勘查等才能申请；三、有立项批复文件；四、要有规划部门的审查意见；五、有土地补偿协议、向村集体或农民支付土地补偿费凭证；六、土地复垦方案和土地复垦承诺函；七、要和村委会或自然资源管理部门签订临时用地协议；八、环评手续等。
18,是否可以办理取水许可？,可以，根据取水许可分级管理权限，区级立项、技改项目可以在我们这里申请取水许可。
19,临时占用林地手续可以在高新区办理吗？,防护林地和特种用途林地以外10公顷以下的，由市、州、地林业行政部门审批；但如占用的是防护林地和特种用途林地则高新区没有权限，需要省林业局审批。
20,新建、改建、扩建入河排污口能否在你们区申报？,能，按照河道管理权限审批，我们主要审批的是环评手续在区级办理的项目
21,水土保持方案审批你们区是否实行承诺制审批？,挖填方在5000-50000方、扰动面积5公顷以下的，实行承诺制审批，不需要专家技术评审，只需一名省级专家库的专家审查签字即可。
